size_x = 40;
size_y = 30;

given = [|
1, 6, 16|
1, 21, 6|
1, 30, 7|
2, 1, 2|
2, 4, 2|
2, 12, 4|
2, 19, 6|
2, 24, 6|
2, 30, 2|
3, 1, 2|
3, 2, 3|
3, 3, 8|
3, 6, 12|
3, 13, 2|
3, 15, 2|
3, 18, 7|
3, 30, 2|
4, 7, 3|
4, 10, 6|
4, 11, 3|
4, 27, 4|
4, 28, 6|
5, 1, 2|
5, 2, 2|
5, 6, 3|
5, 11, 3|
5, 16, 4|
5, 22, 5|
5, 29, 36|
6, 9, 9|
6, 16, 2|
7, 11, 48|
7, 13, 5|
7, 24, 12|
7, 27, 2|
8, 14, 16|
8, 25, 12|
9, 25, 3|
10, 22, 2|
11, 2, 2|
11, 6, 9|
12, 6, 4|
12, 9, 5|
12, 22, 3|
12, 24, 4|
12, 28, 12|
13, 3, 8|
13, 4, 5|
13, 12, 64|
13, 19, 30|
13, 25, 8|
13, 26, 26|
14, 1, 8|
14, 20, 66|
15, 17, 5|
15, 23, 15|
16, 18, 8|
17, 5, 5|
18, 4, 2|
18, 14, 3|
18, 18, 4|
19, 3, 2|
19, 5, 3|
19, 25, 5|
20, 3, 2|
20, 19, 2|
21, 11, 8|
21, 14, 6|
21, 28, 2|
22, 22, 13|
22, 29, 2|
23, 10, 3|
23, 18, 6|
23, 24, 27|
24, 9, 12|
24, 18, 4|
24, 30, 3|
25, 7, 120|
25, 30, 3|
26, 19, 7|
26, 25, 12|
28, 14, 55|
28, 22, 2|
28, 23, 5|
29, 23, 2|
29, 28, 72|
30, 1, 48|
30, 23, 2|
31, 16, 52|
32, 18, 5|
32, 19, 2|
32, 22, 2|
32, 23, 2|
33, 23, 2|
34, 15, 4|
34, 23, 4|
35, 11, 2|
35, 16, 4|
35, 22, 3|
35, 25, 2|
36, 9, 3|
36, 14, 12|
36, 17, 20|
36, 18, 8|
37, 19, 2|
37, 20, 3|
37, 25, 3|
38, 9, 3|
38, 11, 10|
38, 12, 3|
38, 15, 3|
38, 21, 10|
38, 23, 2|
39, 14, 4|
39, 16, 4|
39, 30, 13|
40, 1, 2|
40, 15, 2|
40, 18, 2|
40, 21, 2|
40, 24, 4|];
